#timebase=20000000(ps)
,#voltbase=50000(uV)
#size=4064
1.00000E-07,-24.000
2.00000E-07,-24.000
3.00000E-07,-24.000
4.00000E-07,-26.000
5.00000E-07,-22.000
6.00000E-07,-22.000
7.00000E-07,-20.000
8.00000E-07,-20.000
9.00000E-07,-22.000
1.00000E-06,-24.000
1.10000E-06,-22.000
1.20000E-06,-22.000
1.30000E-06,-22.000
1.40000E-06,-22.000
1.50000E-06,-24.000
1.60000E-06,-22.000
1.70000E-06,-24.000
1.80000E-06,-22.000
1.90000E-06,-24.000
2.00000E-06,-24.000
2.10000E-06,-22.000
2.20000E-06,-22.000
2.30000E-06,-24.000
2.40000E-06,-26.000
2.50000E-06,-22.000
2.60000E-06,-24.000
2.70000E-06,-24.000
2.80000E-06,-24.000
2.90000E-06,-22.000
3.00000E-06,-22.000
3.10000E-06,-22.000
3.20000E-06,-22.000
3.30000E-06,-22.000
3.40000E-06,-22.000
3.50000E-06,-22.000
3.60000E-06,-20.000
3.70000E-06,-20.000
3.80000E-06,-22.000
3.90000E-06,-22.000
4.00000E-06,-24.000
4.10000E-06,-24.000
4.20000E-06,-22.000
4.30000E-06,-22.000
4.40000E-06,-22.000
4.50000E-06,-24.000
4.60000E-06,-24.000
4.70000E-06,-24.000
4.80000E-06,-24.000
4.90000E-06,-22.000
5.00000E-06,-22.000
5.10000E-06,-22.000
5.20000E-06,-22.000
5.30000E-06,-24.000
5.40000E-06,-24.000
5.50000E-06,-22.000
5.60000E-06,-24.000
5.70000E-06,-22.000
5.80000E-06,-22.000
5.90000E-06,-22.000
6.00000E-06,-22.000
6.10000E-06,-22.000
6.20000E-06,-22.000
6.30000E-06,-22.000
6.40000E-06,-22.000
6.50000E-06,-22.000
6.60000E-06,-22.000
6.70000E-06,-24.000
6.80000E-06,-22.000
6.90000E-06,-22.000
7.00000E-06,-22.000
7.10000E-06,-24.000
7.20000E-06,-22.000
7.30000E-06,-22.000
7.40000E-06,-22.000
7.50000E-06,-22.000
7.60000E-06,-22.000
7.70000E-06,-22.000
7.80000E-06,-22.000
7.90000E-06,-26.000
8.00000E-06,-40.000
8.10000E-06,-18.000
8.20000E-06,-18.000
8.30000E-06,-18.000
8.40000E-06,-16.000
8.50000E-06,-16.000
8.60000E-06,-16.000
8.70000E-06,-16.000
8.80000E-06,-16.000
8.90000E-06,-14.000
9.00000E-06,-12.000
9.10000E-06,-12.000
9.20000E-06,-10.000
9.30000E-06,-10.000
9.40000E-06,-10.000
9.50000E-06,-8.000
9.60000E-06,-8.000
9.70000E-06,-10.000
9.80000E-06,-8.000
9.90000E-06,-4.000
1.00000E-05,-4.000
1.01000E-05,-4.000
1.02000E-05,0.000
1.03000E-05,0.000
1.04000E-05,0.000
1.05000E-05,-2.000
1.06000E-05,2.000
1.07000E-05,0.000
1.08000E-05,0.000
1.09000E-05,2.000
1.10000E-05,4.000
1.11000E-05,6.000
1.12000E-05,10.000
1.13000E-05,10.000
1.14000E-05,10.000
1.15000E-05,8.000
1.16000E-05,10.000
1.17000E-05,12.000
1.18000E-05,12.000
1.19000E-05,14.000
1.20000E-05,14.000
1.21000E-05,14.000
1.22000E-05,18.000
1.23000E-05,16.000
1.24000E-05,16.000
1.25000E-05,18.000
1.26000E-05,20.000
1.27000E-05,20.000
1.28000E-05,20.000
1.29000E-05,20.000
1.30000E-05,24.000
1.31000E-05,24.000
1.32000E-05,24.000
1.33000E-05,28.000
1.34000E-05,26.000
1.35000E-05,28.000
1.36000E-05,28.000
1.37000E-05,30.000
1.38000E-05,30.000
1.39000E-05,32.000
1.40000E-05,32.000
1.41000E-05,32.000
1.42000E-05,32.000
1.43000E-05,32.000
1.44000E-05,34.000
1.45000E-05,34.000
1.46000E-05,36.000
1.47000E-05,34.000
1.48000E-05,36.000
1.49000E-05,38.000
1.50000E-05,40.000
1.51000E-05,38.000
1.52000E-05,40.000
1.53000E-05,42.000
1.54000E-05,40.000
1.55000E-05,38.000
1.56000E-05,40.000
1.57000E-05,40.000
1.58000E-05,42.000
1.59000E-05,46.000
1.60000E-05,44.000
1.61000E-05,44.000
1.62000E-05,44.000
1.63000E-05,48.000
1.64000E-05,44.000
1.65000E-05,48.000
1.66000E-05,44.000
1.67000E-05,48.000
1.68000E-05,46.000
1.69000E-05,50.000
1.70000E-05,48.000
1.71000E-05,46.000
1.72000E-05,46.000
1.73000E-05,46.000
1.74000E-05,48.000
1.75000E-05,48.000
1.76000E-05,50.000
1.77000E-05,48.000
1.78000E-05,48.000
1.79000E-05,48.000
1.80000E-05,50.000
1.81000E-05,50.000
1.82000E-05,48.000
1.83000E-05,52.000
1.84000E-05,52.000
1.85000E-05,50.000
1.86000E-05,52.000
1.87000E-05,52.000
1.88000E-05,50.000
1.89000E-05,46.000
1.90000E-05,50.000
1.91000E-05,48.000
1.92000E-05,48.000
1.93000E-05,52.000
1.94000E-05,50.000
1.95000E-05,48.000
1.96000E-05,52.000
1.97000E-05,48.000
1.98000E-05,46.000
1.99000E-05,48.000
2.00000E-05,48.000
2.01000E-05,48.000
2.02000E-05,50.000
2.03000E-05,46.000
2.04000E-05,48.000
2.05000E-05,48.000
2.06000E-05,48.000
2.07000E-05,48.000
2.08000E-05,46.000
2.09000E-05,48.000
2.10000E-05,46.000
2.11000E-05,44.000
2.12000E-05,46.000
2.13000E-05,46.000
2.14000E-05,44.000
2.15000E-05,44.000
2.16000E-05,42.000
2.17000E-05,44.000
2.18000E-05,42.000
2.19000E-05,38.000
2.20000E-05,42.000
2.21000E-05,40.000
2.22000E-05,40.000
2.23000E-05,38.000
2.24000E-05,38.000
2.25000E-05,38.000
2.26000E-05,38.000
2.27000E-05,38.000
2.28000E-05,34.000
2.29000E-05,36.000
2.30000E-05,38.000
2.31000E-05,36.000
2.32000E-05,34.000
2.33000E-05,32.000
2.34000E-05,32.000
2.35000E-05,32.000
2.36000E-05,30.000
2.37000E-05,32.000
2.38000E-05,30.000
2.39000E-05,30.000
2.40000E-05,28.000
2.41000E-05,30.000
2.42000E-05,26.000
2.43000E-05,24.000
2.44000E-05,26.000
2.45000E-05,24.000
2.46000E-05,24.000
2.47000E-05,24.000
2.48000E-05,22.000
2.49000E-05,20.000
2.50000E-05,22.000
2.51000E-05,18.000
2.52000E-05,18.000
2.53000E-05,18.000
2.54000E-05,18.000
2.55000E-05,14.000
2.56000E-05,14.000
2.57000E-05,16.000
2.58000E-05,12.000
2.59000E-05,10.000
2.60000E-05,8.000
2.61000E-05,10.000
2.62000E-05,12.000
2.63000E-05,8.000
2.64000E-05,6.000
2.65000E-05,8.000
2.66000E-05,4.000
2.67000E-05,8.000
2.68000E-05,4.000
2.69000E-05,6.000
2.70000E-05,4.000
2.71000E-05,4.000
2.72000E-05,0.000
2.73000E-05,2.000
2.74000E-05,0.000
2.75000E-05,-2.000
2.76000E-05,2.000
2.77000E-05,0.000
2.78000E-05,-6.000
2.79000E-05,-4.000
2.80000E-05,-6.000
2.81000E-05,-4.000
2.82000E-05,-4.000
2.83000E-05,-6.000
2.84000E-05,-8.000
2.85000E-05,-8.000
2.86000E-05,-8.000
2.87000E-05,-14.000
2.88000E-05,-12.000
2.89000E-05,-10.000
2.90000E-05,-12.000
2.91000E-05,-16.000
2.92000E-05,-18.000
2.93000E-05,-20.000
2.94000E-05,-20.000
2.95000E-05,-18.000
2.96000E-05,-14.000
2.97000E-05,-8.000
2.98000E-05,-8.000
2.99000E-05,-10.000
3.00000E-05,-10.000
3.01000E-05,-14.000
3.02000E-05,-16.000
3.03000E-05,-14.000
3.04000E-05,-14.000
3.05000E-05,-14.000
3.06000E-05,-14.000
3.07000E-05,-12.000
3.08000E-05,-16.000
3.09000E-05,-14.000
3.10000E-05,-16.000
3.11000E-05,-18.000
3.12000E-05,-14.000
3.13000E-05,-14.000
3.14000E-05,-14.000
3.15000E-05,-14.000
3.16000E-05,-16.000
3.17000E-05,-12.000
3.18000E-05,-18.000
3.19000E-05,-14.000
3.20000E-05,-18.000
3.21000E-05,-14.000
3.22000E-05,-16.000
3.23000E-05,-16.000
3.24000E-05,-18.000
3.25000E-05,-20.000
3.26000E-05,-18.000
3.27000E-05,-16.000
3.28000E-05,-20.000
3.29000E-05,-18.000
3.30000E-05,-20.000
3.31000E-05,-18.000
3.32000E-05,-18.000
3.33000E-05,-16.000
3.34000E-05,-18.000
3.35000E-05,-18.000
3.36000E-05,-18.000
3.37000E-05,-20.000
3.38000E-05,-24.000
3.39000E-05,-18.000
3.40000E-05,-18.000
3.41000E-05,-24.000
3.42000E-05,-18.000
3.43000E-05,-22.000
3.44000E-05,-20.000
3.45000E-05,-24.000
3.46000E-05,-22.000
3.47000E-05,-22.000
3.48000E-05,-22.000
3.49000E-05,-22.000
3.50000E-05,-22.000
3.51000E-05,-22.000
3.52000E-05,-22.000
3.53000E-05,-22.000
3.54000E-05,-22.000
3.55000E-05,-20.000
3.56000E-05,-20.000
3.57000E-05,-24.000
3.58000E-05,-22.000
3.59000E-05,-22.000
3.60000E-05,-22.000
3.61000E-05,-22.000
3.62000E-05,-22.000
3.63000E-05,-22.000
3.64000E-05,-24.000
3.65000E-05,-22.000
3.66000E-05,-22.000
3.67000E-05,-20.000
3.68000E-05,-22.000
3.69000E-05,-22.000
3.70000E-05,-22.000
3.71000E-05,-18.000
3.72000E-05,-22.000
3.73000E-05,-22.000
3.74000E-05,-22.000
3.75000E-05,-24.000
3.76000E-05,-22.000
3.77000E-05,-22.000
3.78000E-05,-22.000
3.79000E-05,-22.000
3.80000E-05,-24.000
3.81000E-05,-22.000
3.82000E-05,-20.000
3.83000E-05,-22.000
3.84000E-05,-22.000
3.85000E-05,-22.000
3.86000E-05,-22.000
3.87000E-05,-22.000
3.88000E-05,-22.000
3.89000E-05,-22.000
3.90000E-05,-22.000
3.91000E-05,-24.000
3.92000E-05,-22.000
3.93000E-05,-22.000
3.94000E-05,-22.000
3.95000E-05,-22.000
3.96000E-05,-22.000
3.97000E-05,-22.000
3.98000E-05,-22.000
3.99000E-05,-22.000
4.00000E-05,-22.000
4.01000E-05,-20.000
4.02000E-05,-22.000
4.03000E-05,-22.000
4.04000E-05,-22.000
4.05000E-05,-22.000
4.06000E-05,-22.000
4.07000E-05,-22.000
4.08000E-05,-22.000
4.09000E-05,-24.000
4.10000E-05,-24.000
4.11000E-05,-22.000
4.12000E-05,-24.000
4.13000E-05,-22.000
4.14000E-05,-22.000
4.15000E-05,-22.000
4.16000E-05,-24.000
4.17000E-05,-24.000
4.18000E-05,-24.000
4.19000E-05,-20.000
4.20000E-05,-20.000
4.21000E-05,-20.000
4.22000E-05,-22.000
4.23000E-05,-22.000
4.24000E-05,-24.000
4.25000E-05,-22.000
4.26000E-05,-22.000
4.27000E-05,-24.000
4.28000E-05,-24.000
4.29000E-05,-26.000
4.30000E-05,-24.000
4.31000E-05,-24.000
4.32000E-05,-24.000
4.33000E-05,-22.000
4.34000E-05,-24.000
4.35000E-05,-22.000
4.36000E-05,-24.000
4.37000E-05,-22.000
4.38000E-05,-22.000
4.39000E-05,-22.000
4.40000E-05,-24.000
4.41000E-05,-24.000
4.42000E-05,-24.000
4.43000E-05,-24.000
4.44000E-05,-22.000
4.45000E-05,-22.000
4.46000E-05,-22.000
4.47000E-05,-22.000
4.48000E-05,-26.000
4.49000E-05,-22.000
4.50000E-05,-22.000
4.51000E-05,-20.000
4.52000E-05,-20.000
4.53000E-05,-20.000
4.54000E-05,-20.000
4.55000E-05,-22.000
4.56000E-05,-22.000
4.57000E-05,-22.000
4.58000E-05,-22.000
4.59000E-05,-22.000
4.60000E-05,-22.000
4.61000E-05,-22.000
4.62000E-05,-22.000
4.63000E-05,-22.000
4.64000E-05,-20.000
4.65000E-05,-22.000
4.66000E-05,-22.000
4.67000E-05,-22.000
4.68000E-05,-24.000
4.69000E-05,-32.000
4.70000E-05,-24.000
4.71000E-05,-20.000
4.72000E-05,-20.000
4.73000E-05,-18.000
4.74000E-05,-20.000
4.75000E-05,-18.000
4.76000E-05,-14.000
4.77000E-05,-14.000
4.78000E-05,-16.000
4.79000E-05,-14.000
4.80000E-05,-12.000
4.81000E-05,-12.000
4.82000E-05,-12.000
4.83000E-05,-10.000
4.84000E-05,-8.000
4.85000E-05,-10.000
4.86000E-05,-8.000
4.87000E-05,-8.000
4.88000E-05,-2.000
4.89000E-05,-4.000
4.90000E-05,-4.000
4.91000E-05,-4.000
4.92000E-05,-2.000
4.93000E-05,0.000
4.94000E-05,0.000
4.95000E-05,-2.000
4.96000E-05,2.000
4.97000E-05,0.000
4.98000E-05,6.000
4.99000E-05,8.000
5.00000E-05,8.000
5.01000E-05,8.000
5.02000E-05,6.000
5.03000E-05,6.000
5.04000E-05,10.000
5.05000E-05,12.000
5.06000E-05,12.000
5.07000E-05,10.000
5.08000E-05,12.000
5.09000E-05,16.000
5.10000E-05,16.000
5.11000E-05,16.000
5.12000E-05,16.000
5.13000E-05,20.000
5.14000E-05,20.000
5.15000E-05,20.000
5.16000E-05,22.000
5.17000E-05,20.000
5.18000E-05,20.000
5.19000E-05,24.000
5.20000E-05,24.000
5.21000E-05,24.000
5.22000E-05,26.000
5.23000E-05,26.000
5.24000E-05,26.000
5.25000E-05,28.000
5.26000E-05,30.000
5.27000E-05,30.000
5.28000E-05,32.000
5.29000E-05,32.000
5.30000E-05,32.000
5.31000E-05,34.000
5.32000E-05,34.000
5.33000E-05,36.000
5.34000E-05,38.000
5.35000E-05,36.000
5.36000E-05,34.000
5.37000E-05,36.000
5.38000E-05,38.000
5.39000E-05,38.000
5.40000E-05,38.000
5.41000E-05,40.000
5.42000E-05,42.000
5.43000E-05,42.000
5.44000E-05,42.000
5.45000E-05,40.000
5.46000E-05,42.000
5.47000E-05,46.000
5.48000E-05,44.000
5.49000E-05,44.000
5.50000E-05,44.000
5.51000E-05,46.000
5.52000E-05,44.000
5.53000E-05,44.000
5.54000E-05,48.000
5.55000E-05,46.000
5.56000E-05,48.000
5.57000E-05,48.000
5.58000E-05,50.000
5.59000E-05,46.000
5.60000E-05,48.000
5.61000E-05,48.000
5.62000E-05,48.000
5.63000E-05,48.000
5.64000E-05,48.000
5.65000E-05,52.000
5.66000E-05,50.000
5.67000E-05,50.000
5.68000E-05,48.000
5.69000E-05,52.000
5.70000E-05,52.000
5.71000E-05,52.000
5.72000E-05,52.000
5.73000E-05,52.000
5.74000E-05,50.000
5.75000E-05,50.000
5.76000E-05,48.000
5.77000E-05,50.000
5.78000E-05,54.000
5.79000E-05,50.000
5.80000E-05,50.000
5.81000E-05,52.000
5.82000E-05,52.000
5.83000E-05,54.000
5.84000E-05,50.000
5.85000E-05,52.000
5.86000E-05,52.000
5.87000E-05,52.000
5.88000E-05,50.000
5.89000E-05,50.000
5.90000E-05,48.000
5.91000E-05,50.000
5.92000E-05,50.000
5.93000E-05,48.000
5.94000E-05,50.000
5.95000E-05,48.000
5.96000E-05,48.000
5.97000E-05,46.000
5.98000E-05,46.000
5.99000E-05,46.000
6.00000E-05,46.000
6.01000E-05,44.000
6.02000E-05,46.000
6.03000E-05,44.000
6.04000E-05,44.000
6.05000E-05,44.000
6.06000E-05,44.000
6.07000E-05,42.000
6.08000E-05,42.000
6.09000E-05,42.000
6.10000E-05,40.000
6.11000E-05,40.000
6.12000E-05,38.000
6.13000E-05,40.000
