#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
5.00000E-08,4880.000
1.00000E-07,4880.000
1.50000E-07,4720.000
2.00000E-07,4880.000
2.50000E-07,4960.000
3.00000E-07,4880.000
3.50000E-07,4880.000
4.00000E-07,4880.000
4.50000E-07,4960.000
5.00000E-07,4960.000
5.50000E-07,4880.000
6.00000E-07,4880.000
6.50000E-07,4800.000
7.00000E-07,4800.000
7.50000E-07,4800.000
8.00000E-07,4720.000
8.50000E-07,4800.000
9.00000E-07,4800.000
9.50000E-07,4800.000
1.00000E-06,4880.000
1.05000E-06,4800.000
1.10000E-06,4800.000
1.15000E-06,4880.000
1.20000E-06,4960.000
1.25000E-06,4880.000
1.30000E-06,4800.000
1.35000E-06,4800.000
1.40000E-06,4720.000
1.45000E-06,4880.000
1.50000E-06,4800.000
1.55000E-06,4960.000
1.60000E-06,4880.000
1.65000E-06,4880.000
1.70000E-06,4800.000
1.75000E-06,4880.000
1.80000E-06,4960.000
1.85000E-06,4800.000
1.90000E-06,4800.000
1.95000E-06,4800.000
2.00000E-06,4800.000
2.05000E-06,4880.000
2.10000E-06,4880.000
2.15000E-06,4720.000
2.20000E-06,4800.000
2.25000E-06,4960.000
2.30000E-06,4880.000
2.35000E-06,4800.000
2.40000E-06,4800.000
2.45000E-06,4880.000
2.50000E-06,4960.000
2.55000E-06,4880.000
2.60000E-06,4880.000
2.65000E-06,4880.000
2.70000E-06,4720.000
2.75000E-06,4800.000
2.80000E-06,4800.000
2.85000E-06,4880.000
2.90000E-06,4800.000
2.95000E-06,4720.000
3.00000E-06,4800.000
3.05000E-06,4880.000
3.10000E-06,4960.000
3.15000E-06,4880.000
3.20000E-06,4800.000
3.25000E-06,4880.000
3.30000E-06,4720.000
3.35000E-06,4800.000
3.40000E-06,4800.000
3.45000E-06,4880.000
3.50000E-06,4800.000
3.55000E-06,4720.000
3.60000E-06,4800.000
3.65000E-06,4800.000
3.70000E-06,4800.000
3.75000E-06,4720.000
3.80000E-06,4800.000
3.85000E-06,4720.000
3.90000E-06,4800.000
3.95000E-06,4880.000
4.00000E-06,4880.000
4.05000E-06,4800.000
4.10000E-06,4720.000
4.15000E-06,4880.000
4.20000E-06,4800.000
4.25000E-06,4880.000
4.30000E-06,4800.000
4.35000E-06,4880.000
4.40000E-06,4800.000
4.45000E-06,4800.000
4.50000E-06,4800.000
4.55000E-06,4800.000
4.60000E-06,4880.000
4.65000E-06,4880.000
4.70000E-06,4800.000
4.75000E-06,4800.000
4.80000E-06,4800.000
4.85000E-06,4800.000
4.90000E-06,4880.000
4.95000E-06,4800.000
5.00000E-06,4720.000
5.05000E-06,4800.000
5.10000E-06,4800.000
5.15000E-06,4880.000
5.20000E-06,4960.000
5.25000E-06,4800.000
5.30000E-06,4800.000
5.35000E-06,4800.000
5.40000E-06,4720.000
5.45000E-06,4720.000
5.50000E-06,4800.000
5.55000E-06,4960.000
5.60000E-06,4720.000
5.65000E-06,4800.000
5.70000E-06,4800.000
5.75000E-06,4960.000
5.80000E-06,4880.000
5.85000E-06,4720.000
5.90000E-06,4800.000
5.95000E-06,4880.000
6.00000E-06,4800.000
6.05000E-06,4880.000
6.10000E-06,4880.000
6.15000E-06,4800.000
6.20000E-06,4720.000
6.25000E-06,4880.000
6.30000E-06,4800.000
6.35000E-06,4800.000
6.40000E-06,4880.000
6.45000E-06,4880.000
6.50000E-06,4800.000
6.55000E-06,4880.000
6.60000E-06,4800.000
6.65000E-06,4880.000
6.70000E-06,4960.000
6.75000E-06,4800.000
6.80000E-06,4880.000
6.85000E-06,4880.000
6.90000E-06,4880.000
6.95000E-06,4800.000
7.00000E-06,4800.000
