#timebase=80000000(ps)
,#voltbase=2000000(uV)
#size=40064
2.50000E-07,4800.000
5.00000E-07,4800.000
7.50000E-07,4640.000
1.00000E-06,4720.000
1.25000E-06,4880.000
1.50000E-06,4720.000
1.75000E-06,4800.000
2.00000E-06,4800.000
2.25000E-06,4720.000
2.50000E-06,4800.000
2.75000E-06,4960.000
3.00000E-06,4800.000
3.25000E-06,4880.000
3.50000E-06,4800.000
3.75000E-06,4800.000
4.00000E-06,4800.000
4.25000E-06,4880.000
4.50000E-06,4880.000
4.75000E-06,4880.000
5.00000E-06,4800.000
5.25000E-06,4720.000
5.50000E-06,4800.000
5.75000E-06,4800.000
6.00000E-06,4880.000
6.25000E-06,4800.000
6.50000E-06,4720.000
6.75000E-06,4800.000
7.00000E-06,4880.000
7.25000E-06,4720.000
7.50000E-06,4800.000
7.75000E-06,4800.000
8.00000E-06,4720.000
8.25000E-06,4720.000
8.50000E-06,4800.000
8.75000E-06,4880.000
9.00000E-06,4800.000
9.25000E-06,4720.000
9.50000E-06,4800.000
9.75000E-06,4800.000
1.00000E-05,4880.000
1.02500E-05,4800.000
1.05000E-05,4880.000
1.07500E-05,4720.000
1.10000E-05,4720.000
1.12500E-05,4800.000
1.15000E-05,4720.000
1.17500E-05,4640.000
1.20000E-05,4880.000
1.22500E-05,4720.000
1.25000E-05,4800.000
1.27500E-05,4880.000
1.30000E-05,4880.000
1.32500E-05,4960.000
1.35000E-05,4800.000
1.37500E-05,4720.000
1.40000E-05,4800.000
1.42500E-05,4720.000
1.45000E-05,4800.000
1.47500E-05,4880.000
1.50000E-05,4800.000
1.52500E-05,4800.000
1.55000E-05,4640.000
1.57500E-05,4800.000
1.60000E-05,4880.000
1.62500E-05,4800.000
1.65000E-05,4800.000
1.67500E-05,4720.000
1.70000E-05,4800.000
1.72500E-05,4720.000
1.75000E-05,4800.000
1.77500E-05,4800.000
1.80000E-05,4880.000
1.82500E-05,4800.000
1.85000E-05,4800.000
1.87500E-05,4880.000
1.90000E-05,4720.000
1.92500E-05,4720.000
1.95000E-05,4880.000
1.97500E-05,4880.000
2.00000E-05,4800.000
2.02500E-05,4720.000
2.05000E-05,4720.000
2.07500E-05,4720.000
2.10000E-05,4720.000
2.12500E-05,4880.000
2.15000E-05,4800.000
2.17500E-05,4800.000
2.20000E-05,4800.000
2.22500E-05,4800.000
2.25000E-05,4800.000
2.27500E-05,4800.000
2.30000E-05,4720.000
2.32500E-05,4800.000
2.35000E-05,4800.000
2.37500E-05,4720.000
2.40000E-05,4720.000
2.42500E-05,4800.000
2.45000E-05,4880.000
2.47500E-05,4880.000
2.50000E-05,4800.000
2.52500E-05,4720.000
2.55000E-05,4720.000
2.57500E-05,4880.000
2.60000E-05,4880.000
2.62500E-05,4720.000
2.65000E-05,4800.000
2.67500E-05,4720.000
2.70000E-05,4800.000
2.72500E-05,4880.000
2.75000E-05,4800.000
2.77500E-05,4800.000
2.80000E-05,4800.000
2.82500E-05,4880.000
2.85000E-05,4720.000
2.87500E-05,4800.000
2.90000E-05,4800.000
2.92500E-05,4880.000
2.95000E-05,4720.000
2.97500E-05,4720.000
3.00000E-05,4800.000
3.02500E-05,4800.000
3.05000E-05,4880.000
3.07500E-05,4800.000
3.10000E-05,4880.000
3.12500E-05,4720.000
3.15000E-05,4720.000
3.17500E-05,4800.000
3.20000E-05,4880.000
3.22500E-05,4880.000
3.25000E-05,4800.000
3.27500E-05,4880.000
3.30000E-05,4880.000
3.32500E-05,4880.000
3.35000E-05,4880.000
3.37500E-05,4880.000
3.40000E-05,4720.000
3.42500E-05,4720.000
3.45000E-05,4800.000
3.47500E-05,4800.000
3.50000E-05,4880.000
3.52500E-05,4800.000
3.55000E-05,4880.000
3.57500E-05,4880.000
3.60000E-05,4880.000
3.62500E-05,4720.000
3.65000E-05,4800.000
3.67500E-05,4880.000
3.70000E-05,4800.000
3.72500E-05,4800.000
3.75000E-05,4800.000
3.77500E-05,4960.000
3.80000E-05,4800.000
3.82500E-05,4880.000
3.85000E-05,4800.000
3.87500E-05,4880.000
3.90000E-05,4800.000
3.92500E-05,4880.000
3.95000E-05,4880.000
3.97500E-05,4880.000
4.00000E-05,4720.000
4.02500E-05,4800.000
4.05000E-05,4720.000
4.07500E-05,4720.000
4.10000E-05,4800.000
4.12500E-05,4880.000
4.15000E-05,4800.000
4.17500E-05,4720.000
4.20000E-05,4800.000
4.22500E-05,4800.000
4.25000E-05,4800.000
4.27500E-05,4880.000
4.30000E-05,4800.000
4.32500E-05,4720.000
4.35000E-05,4800.000
4.37500E-05,4720.000
4.40000E-05,4800.000
4.42500E-05,4800.000
4.45000E-05,4800.000
4.47500E-05,4800.000
4.50000E-05,4880.000
4.52500E-05,4800.000
4.55000E-05,4800.000
4.57500E-05,4880.000
4.60000E-05,4800.000
4.62500E-05,4880.000
4.65000E-05,4800.000
4.67500E-05,4800.000
4.70000E-05,4880.000
4.72500E-05,4800.000
4.75000E-05,4800.000
4.77500E-05,4800.000
4.80000E-05,4880.000
4.82500E-05,4800.000
4.85000E-05,4640.000
4.87500E-05,4640.000
4.90000E-05,4800.000
4.92500E-05,4720.000
4.95000E-05,4880.000
4.97500E-05,4720.000
5.00000E-05,4800.000
5.02500E-05,4800.000
5.05000E-05,4880.000
5.07500E-05,4800.000
5.10000E-05,4720.000
5.12500E-05,4720.000
5.15000E-05,4800.000
5.17500E-05,4880.000
5.20000E-05,4880.000
5.22500E-05,4880.000
5.25000E-05,4880.000
5.27500E-05,4880.000
5.30000E-05,4880.000
5.32500E-05,4720.000
5.35000E-05,4800.000
5.37500E-05,4880.000
5.40000E-05,4800.000
5.42500E-05,4720.000
5.45000E-05,4720.000
5.47500E-05,4800.000
5.50000E-05,4720.000
5.52500E-05,4800.000
5.55000E-05,4720.000
5.57500E-05,4800.000
5.60000E-05,4880.000
5.62500E-05,4800.000
5.65000E-05,4880.000
5.67500E-05,4640.000
5.70000E-05,4800.000
5.72500E-05,4800.000
5.75000E-05,4800.000
5.77500E-05,4800.000
5.80000E-05,4720.000
5.82500E-05,4720.000
5.85000E-05,4800.000
5.87500E-05,4640.000
5.90000E-05,4720.000
5.92500E-05,4720.000
