#timebase=4000000000(ps)
,#voltbase=1000000(uV)
#size=4064
2.00000E-05,40.000
4.00000E-05,40.000
6.00000E-05,0.000
8.00000E-05,4000
1.00000E-04,4000
1.20000E-04,4000
1.40000E-04,4000
1.60000E-04,-40.000
1.80000E-04,-80.000
2.00000E-04,0.000
2.20000E-04,0.000
2.40000E-04,40.000
2.60000E-04,0.000
2.80000E-04,-40.000
3.00000E-04,0.000
3.20000E-04,0.000
3.40000E-04,0.000
3.60000E-04,40.000
3.80000E-04,0.000
4.00000E-04,5000.000
4.20000E-04,4960.000
4.40000E-04,4960.000
4.60000E-04,5000.000
4.80000E-04,5000.000
5.00000E-04,5000.000
5.20000E-04,5040.000
5.40000E-04,5000.000
5.60000E-04,5000.000
5.80000E-04,5000.000
6.00000E-04,5080.000
6.20000E-04,5000.000
6.40000E-04,5040.000
6.60000E-04,5000.000
6.80000E-04,5000.000
7.00000E-04,5040.000
7.20000E-04,5040.000
7.40000E-04,5040.000
7.60000E-04,5040.000
7.80000E-04,5000.000
8.00000E-04,5080.000
8.20000E-04,5040.000
8.40000E-04,5040.000
8.60000E-04,5000.000
8.80000E-04,5040.000
9.00000E-04,80.000
9.20000E-04,120.000
9.40000E-04,40.000
9.60000E-04,80.000
9.78730E-04,40.000
